Sub-Sample No.,Gas Sample No.,Significant Measure,CPU Time,Date/Time (EST),Fluid Temp (C),Fluid pH,Gas Temp (C),Gas RH%,Gas Pressure (hPa),Gas MQ4 (Volts/5.0),Gas MQ135 (Volts/5.0),Dry fail
521,9,,31590514,2021/2/5 0:0:9,18.25,3.95,30.36,0.00,1017.90,0.7283,1.0948,ok,
522,9,,31652503,2021/2/5 0:1:11,18.25,3.95,30.37,0.00,1017.83,0.7283,1.0899,ok,
523,9,,31712194,2021/2/5 0:2:11,18.31,3.95,30.38,0.00,1017.78,0.7283,1.0899,ok,
524,9,,31774182,2021/2/5 0:3:13,18.25,3.95,30.40,0.00,1017.75,0.7283,1.0850,ok,
525,9,,31836171,2021/2/5 0:4:15,18.25,3.95,30.40,0.00,1017.76,0.7283,1.0850,ok,
526,9,,31898157,2021/2/5 0:5:17,18.25,3.95,30.40,0.00,1017.72,0.7283,1.0850,ok,
527,9,,31960142,2021/2/5 0:6:19,18.25,3.95,30.40,0.00,1017.75,0.7283,1.0802,ok,
528,9,,32019836,2021/2/5 0:7:19,18.25,3.95,30.41,0.00,1017.77,0.7283,1.0802,ok,
529,9,,32081823,2021/2/5 0:8:21,18.25,3.95,30.41,0.00,1017.82,0.7283,1.0753,ok,
530,9,,32143809,2021/2/5 0:9:23,18.25,3.95,30.42,0.00,1017.84,0.7283,1.0753,ok,
531,9,,32205798,2021/2/5 0:10:25,18.25,3.95,30.43,0.00,1017.86,0.7283,1.0753,ok,
532,9,,32267781,2021/2/5 0:11:27,18.25,3.95,30.44,0.00,1017.92,0.7283,1.0704,ok,
533,9,,32327470,2021/2/5 0:12:27,18.25,3.95,30.45,0.00,1017.92,0.7283,1.0704,ok,
534,9,,32389455,2021/2/5 0:13:29,18.25,3.95,30.46,0.00,1017.87,0.7283,1.0704,ok,
535,9,,32451443,2021/2/5 0:14:31,18.25,3.95,30.47,0.00,1017.89,0.7283,1.0704,ok,
536,9,,32513423,2021/2/5 0:15:33,18.25,3.95,30.48,0.00,1017.91,0.7283,1.0655,ok,
537,9,,32575411,2021/2/5 0:16:35,18.25,3.95,30.47,0.00,1017.88,0.7283,1.0655,ok,
